label,sample
radio_station,Groove Salad
radio_station,Left Coast 70s
radio_station,Deep Space One
radio_station,Lush
radio_station,Space Station Soma
radio_station,ThistleRadio
radio_station,Digitalis
radio_station,Christmas Lounge
radio_station,Underground 80s
radio_station,Doomed
radio_station,Folk Forward
radio_station,Indie Pop Rocks!
radio_station,n5MD Radio
radio_station,Heavyweight Reggae
radio_station,Suburbs of Goa
radio_station,Groove Salad Classic
radio_station,Bossa Beyond
radio_station,DEF CON Radio
radio_station,Covers
radio_station,Illinois Street Lounge
radio_station,Tiki Time
radio_station,SomaFM Specials
radio_station,Department Store Christmas
radio_station,Vaporwaves
radio_station,Xmas in Frisko
radio_station,SF 10-33
radio_station,The Dark Zone
radio_station,PopTron
radio_station,Jolly Ol' Soul
radio_station,cliqhop idm
radio_station,Fluid
radio_station,Christmas Rocks!
radio_station,Black Rock FM
radio_station,Drone Zone
radio_station,SF Police Scanner
radio_station,Secret Agent
radio_station,Dub Step Beyond
radio_station,SomaFM Live
radio_station,Seven Inch Soul
radio_station,SF in SF
radio_station,Beat Blender
radio_station,The In-Sound
radio_station,Boot Liquor
radio_station,Mission Control
radio_station,Metal Detector
radio_station,Synphaera Radio
radio_station,The Trip
radio_station,Sonic Universe
radio_streaming_provider,SomaFM
radio_streaming_provider,Soma
radio_streaming_provider,Soma FM
